MainBranch,Employment,Country,US_State,Age1stCode,YearsCode,YearsCodePro,OrgSize,CompFreq,OpSys,SOVisitFreq,SOAccount,SOPartFreq,Age,Gender,Trans,ConvertedCompYearly
I am a developer by profession,Employed full-time,United States of America,Illinois,5 - 10 years,30,15,"1,000 to 4,999 employees",Yearly,Linux-based,Daily or almost daily,Yes,Less than once per month or monthly,35-44 years old,Man,No,160000
I am a developer by profession,Employed full-time,United States of America,Utah,5 - 10 years,14,8,100 to 499 employees,Yearly,MacOS,A few times per month or weekly,Yes,Less than once per month or monthly,18-24 years old,Man,No,150000
I am a developer by profession,Employed full-time,United States of America,Illinois,5 - 10 years,10,5,500 to 999 employees,Yearly,MacOS,A few times per week,Not sure/can't remember,NA,18-24 years old,Man,No,58000
I am a developer by profession,Employed full-time,United States of America,California,11 - 17 years,25,15,"5,000 to 9,999 employees",Yearly,MacOS,A few times per month or weekly,Yes,Less than once per month or monthly,35-44 years old,Man,No,150000
I am a developer by profession,Employed full-time,United States of America,Maryland,11 - 17 years,9,Less than 1 year,20 to 99 employees,Yearly,Windows Subsystem for Linux (WSL),Multiple times per day,Yes,Less than once per month or monthly,18-24 years old,Man,No,65000
I am a developer by profession,Employed full-time,United States of America,California,18 - 24 years,6,3,"10,000 or more employees",Yearly,Linux-based,Less than once per month or monthly,No,NA,25-34 years old,Man,No,184000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,New York,18 - 24 years,25,21,20 to 99 employees,Weekly,Windows,Less than once per month or monthly,No,NA,35-44 years old,Man,No,17500000
I am a developer by profession,Employed full-time,United States of America,California,18 - 24 years,16,10,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,Multiple times per day,25-34 years old,Man,No,250000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,11 - 17 years,10,2,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,80000
I am a developer by profession,Employed full-time,United States of America,California,5 - 10 years,15,15,"1,000 to 4,999 employees",Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,35-44 years old,Man,No,400000
I am a developer by profession,Employed full-time,United States of America,Michigan,11 - 17 years,8,4,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,18-24 years old,Man,No,68000
I am a developer by profession,Employed full-time,United States of America,North Carolina,11 - 17 years,8,4,100 to 499 employees,Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,116000
I am a developer by profession,Employed full-time,United States of America,New Mexico,11 - 17 years,19,7,"10,000 or more employees",Yearly,Linux-based,A few times per month or weekly,No,NA,25-34 years old,Man,No,165000
I am a developer by profession,Employed full-time,United States of America,Washington,11 - 17 years,13,9,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,No,NA,25-34 years old,Man,No,300000
I am a developer by profession,Employed full-time,United States of America,Illinois,25 - 34 years,8,6,20 to 99 employees,Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,125000
I am a developer by profession,Employed full-time,United States of America,South Carolina,11 - 17 years,11,7,100 to 499 employees,Yearly,MacOS,Daily or almost daily,No,NA,25-34 years old,Man,No,140000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Florida,18 - 24 years,12,8,"1,000 to 4,999 employees",Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,35-44 years old,Man,No,130000
I am a developer by profession,Employed full-time,United States of America,Arizona,5 - 10 years,23,8,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,California,11 - 17 years,13,4,"10,000 or more employees",Yearly,Linux-based,Less than once per month or monthly,Not sure/can't remember,NA,25-34 years old,Man,No,275000
I am a developer by profession,Employed full-time,United States of America,Illinois,11 - 17 years,8,3,20 to 99 employees,Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,100000
I am a developer by profession,Employed full-time,United States of America,Massachusetts,11 - 17 years,9,6,100 to 499 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,128000
I am a developer by profession,Employed full-time,United States of America,Illinois,18 - 24 years,5,2,"5,000 to 9,999 employees",Yearly,Windows,A few times per month or weekly,Yes,Less than once per month or monthly,25-34 years old,Man,No,105000
I am a developer by profession,Employed full-time,United States of America,California,5 - 10 years,26,15,"1,000 to 4,999 employees",Yearly,Linux-based,Less than once per month or monthly,Yes,Less than once per month or monthly,35-44 years old,Man,No,1100000
I am a developer by profession,Employed full-time,United States of America,Texas,11 - 17 years,15,11,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,250000
I am a developer by profession,Employed full-time,United States of America,Georgia,5 - 10 years,17,11,100 to 499 employees,Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,118000
I am a developer by profession,Employed full-time,United States of America,Georgia,5 - 10 years,21,11,500 to 999 employees,Yearly,MacOS,Daily or almost daily,No,NA,25-34 years old,Man,No,94000
I am a developer by profession,Employed full-time,United States of America,California,5 - 10 years,17,15,"10,000 or more employees",Yearly,Windows,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,220000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,35,22,100 to 499 employees,Yearly,Windows,A few times per month or weekly,Yes,A few times per month or weekly,45-54 years old,Man,No,160000
I am a developer by profession,Employed full-time,United States of America,New Jersey,11 - 17 years,20,8,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,140000
I am a developer by profession,Employed full-time,United States of America,Iowa,18 - 24 years,5,5,100 to 499 employees,Yearly,Linux-based,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,75000
I am a developer by profession,Employed full-time,United States of America,Connecticut,18 - 24 years,5,5,"10,000 or more employees",Yearly,Windows Subsystem for Linux (WSL),A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,92500
I am a developer by profession,Employed full-time,United States of America,California,11 - 17 years,5,3,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,18-24 years old,Man,No,133500
I am a developer by profession,Employed full-time,United States of America,Virginia,11 - 17 years,12,6,100 to 499 employees,Yearly,MacOS,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,35-44 years old,Man,No,118000
I am a developer by profession,Employed full-time,United States of America,Minnesota,5 - 10 years,20,13,"10,000 or more employees",Yearly,MacOS,A few times per month or weekly,Yes,Less than once per month or monthly,35-44 years old,Man,No,300000
I am a developer by profession,Employed full-time,United States of America,Utah,25 - 34 years,6,5,20 to 99 employees,Yearly,Linux-based,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,111280
I am a developer by profession,Employed full-time,United States of America,Texas,11 - 17 years,7,1,"10,000 or more employees",Yearly,Windows Subsystem for Linux (WSL),Daily or almost daily,Yes,Less than once per month or monthly,18-24 years old,Man,No,124000
I am a developer by profession,Employed full-time,United States of America,Minnesota,5 - 10 years,7,1,500 to 999 employees,Yearly,MacOS,Daily or almost daily,No,NA,25-34 years old,Man,No,140000
I am a developer by profession,Employed full-time,United States of America,Washington,5 - 10 years,35,17,100 to 499 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per week,35-44 years old,Man,No,150000
I am a developer by profession,Employed full-time,United States of America,New York,11 - 17 years,23,10,20 to 99 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,25-34 years old,Man,No,238000
I am a developer by profession,Employed full-time,United States of America,Illinois,18 - 24 years,9,5,"1,000 to 4,999 employees",Yearly,Windows,Daily or almost daily,No,NA,25-34 years old,Man,No,150000
I am a developer by profession,Employed full-time,United States of America,Virginia,11 - 17 years,10,3,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,92000
I am a developer by profession,Employed full-time,United States of America,California,5 - 10 years,26,16,20 to 99 employees,Yearly,Windows,A few times per month or weekly,Yes,Less than once per month or monthly,25-34 years old,Man,No,136000
I am a developer by profession,Employed full-time,United States of America,California,11 - 17 years,27,21,"1,000 to 4,999 employees",Yearly,Windows,A few times per month or weekly,Yes,Less than once per month or monthly,35-44 years old,Man,No,185000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Maryland,11 - 17 years,20,5,"1,000 to 4,999 employees",Yearly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,25-34 years old,Man,No,75000
I am a developer by profession,Employed full-time,United States of America,New Mexico,11 - 17 years,14,7,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,Prefer not to say,130000
I am a developer by profession,Employed full-time,United States of America,California,11 - 17 years,8,3,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,No,NA,25-34 years old,Man,No,213000
I am a developer by profession,Employed full-time,United States of America,Colorado,11 - 17 years,18,14,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,No,NA,35-44 years old,Man,No,130000
I am a developer by profession,Employed full-time,United States of America,California,18 - 24 years,22,20,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,A few times per week,35-44 years old,Man,No,295500
I am a developer by profession,Employed full-time,United States of America,Oregon,5 - 10 years,31,22,"1,000 to 4,999 employees",Yearly,Linux-based,Daily or almost daily,Yes,Daily or almost daily,35-44 years old,Man,No,220000
I am a developer by profession,Employed full-time,United States of America,Wisconsin,11 - 17 years,15,9,"10,000 or more employees",Yearly,Windows,A few times per month or weekly,No,NA,25-34 years old,Man,No,163000
I am a developer by profession,Employed full-time,United States of America,Colorado,5 - 10 years,5,3,500 to 999 employees,Yearly,Windows,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,85000
I am a developer by profession,Employed full-time,United States of America,Washington,18 - 24 years,2,Less than 1 year,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,18-24 years old,Man,No,140000
I am a developer by profession,Employed full-time,United States of America,Virginia,11 - 17 years,7,3,100 to 499 employees,Yearly,MacOS,A few times per week,No,NA,35-44 years old,Man,No,136000
I am a developer by profession,Employed full-time,United States of America,Virginia,5 - 10 years,34,20,100 to 499 employees,Yearly,MacOS,Daily or almost daily,Yes,Less than once per month or monthly,35-44 years old,Man,No,173000
I am a developer by profession,Employed full-time,United States of America,Maryland,11 - 17 years,8,5,100 to 499 employees,Yearly,Windows,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,100000
I am a developer by profession,Employed full-time,United States of America,Utah,18 - 24 years,5,1,100 to 499 employees,Yearly,MacOS,Daily or almost daily,No,NA,25-34 years old,Man,No,85000
I am a developer by profession,Employed full-time,United States of America,New Hampshire,5 - 10 years,40,25,"1,000 to 4,999 employees",Yearly,Linux-based,Daily or almost daily,Yes,A few times per month or weekly,45-54 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,California,18 - 24 years,10,10,"5,000 to 9,999 employees",Yearly,Windows Subsystem for Linux (WSL),Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,11,6,100 to 499 employees,Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,155000
I am a developer by profession,Employed full-time,United States of America,Colorado,11 - 17 years,35,18,20 to 99 employees,Yearly,Linux-based,Multiple times per day,Yes,Multiple times per day,45-54 years old,Man,No,193000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,18 - 24 years,12,6,"10,000 or more employees",Yearly,MacOS,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,80650
I am a developer by profession,Employed full-time,United States of America,Texas,11 - 17 years,10,6,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,A few times per month or weekly,18-24 years old,Man,No,98000
I am a developer by profession,Employed full-time,United States of America,Virginia,11 - 17 years,13,4,"1,000 to 4,999 employees",Yearly,MacOS,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,110000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Massachusetts,5 - 10 years,6,2,20 to 99 employees,Yearly,Windows Subsystem for Linux (WSL),A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,18-24 years old,Man,No,110000
I am a developer by profession,Employed full-time,United States of America,Idaho,11 - 17 years,12,10,"10,000 or more employees",Yearly,Linux-based,A few times per month or weekly,Yes,Less than once per month or monthly,35-44 years old,Man,No,217000
I am a developer by profession,Employed full-time,United States of America,Arizona,18 - 24 years,5,2,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,100000
I am a developer by profession,Employed full-time,United States of America,Virginia,11 - 17 years,35,27,500 to 999 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,45-54 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,Michigan,11 - 17 years,9,2,100 to 499 employees,Yearly,MacOS,A few times per week,No,NA,25-34 years old,Man,No,85000
I am a developer by profession,Employed full-time,United States of America,Georgia,11 - 17 years,15,7,"10,000 or more employees",Yearly,MacOS,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,160000
I am a developer by profession,Employed full-time,United States of America,Arizona,11 - 17 years,18,6,10 to 19 employees,Yearly,MacOS,Daily or almost daily,No,NA,25-34 years old,Woman,No,145000
I am a developer by profession,Employed full-time,United States of America,California,18 - 24 years,7,1,100 to 499 employees,Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,18-24 years old,Man,No,105000
I am a developer by profession,Employed full-time,United States of America,Idaho,5 - 10 years,30,8,10 to 19 employees,Yearly,Windows,A few times per month or weekly,Yes,Less than once per month or monthly,35-44 years old,Man,Prefer not to say,70000
I am a developer by profession,Employed full-time,United States of America,California,11 - 17 years,20,7,"1,000 to 4,999 employees",Monthly,Windows,A few times per week,No,NA,25-34 years old,Man,No,1440000
I am a developer by profession,Employed full-time,United States of America,Arizona,5 - 10 years,13,3,2 to 9 employees,Yearly,Linux-based,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Woman,Yes,95000
I am a developer by profession,Employed full-time,United States of America,New Jersey,11 - 17 years,46,32,20 to 99 employees,Yearly,Linux-based,A few times per week,Yes,A few times per month or weekly,55-64 years old,Man,No,165000
I am a developer by profession,Employed full-time,United States of America,Tennessee,11 - 17 years,21,10,"1,000 to 4,999 employees",Yearly,Linux-based,Multiple times per day,Yes,A few times per month or weekly,55-64 years old,Man,No,75000
I am a developer by profession,Employed full-time,United States of America,Alabama,18 - 24 years,4,2,I don’t know,Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,18-24 years old,Man,No,67000
I am a developer by profession,Employed full-time,United States of America,Rhode Island,18 - 24 years,10,7,500 to 999 employees,Yearly,MacOS,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,120000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Georgia,18 - 24 years,39,31,100 to 499 employees,Yearly,MacOS,A few times per week,Yes,A few times per week,55-64 years old,Man,No,350000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,13,6,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,80000
I am a developer by profession,Employed full-time,United States of America,Arkansas,11 - 17 years,20,16,"10,000 or more employees",Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,35-44 years old,Man,No,194000
I am a developer by profession,Employed full-time,United States of America,Texas,11 - 17 years,7,5,20 to 99 employees,Yearly,MacOS,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,142000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,10,4,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,Daily or almost daily,25-34 years old,Man,No,95000
I am a developer by profession,Employed full-time,United States of America,Utah,11 - 17 years,11,7,100 to 499 employees,Yearly,MacOS,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,165000
I am a developer by profession,Employed full-time,United States of America,Ohio,18 - 24 years,8,4,100 to 499 employees,Yearly,MacOS,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,81000
I am a developer by profession,Employed full-time,United States of America,Missouri,11 - 17 years,23,16,20 to 99 employees,Yearly,Windows,Daily or almost daily,No,NA,35-44 years old,Man,No,142000
I am a developer by profession,Employed full-time,United States of America,Oregon,11 - 17 years,16,10,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,160000
I am a developer by profession,Employed full-time,United States of America,Texas,18 - 24 years,11,7,"10,000 or more employees",Yearly,Linux-based,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,375000
I am a developer by profession,Employed full-time,United States of America,New Jersey,18 - 24 years,5,1,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,160000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,11 - 17 years,7,3,"5,000 to 9,999 employees",Yearly,Linux-based,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,90000
I am a developer by profession,Employed full-time,United States of America,Washington,11 - 17 years,6,2,"10,000 or more employees",Yearly,MacOS,A few times per month or weekly,Not sure/can't remember,NA,18-24 years old,Man,No,160000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,New Jersey,25 - 34 years,8,7,100 to 499 employees,Yearly,Linux-based,A few times per week,Not sure/can't remember,NA,25-34 years old,Man,No,100000
I am a developer by profession,Employed full-time,United States of America,Washington,11 - 17 years,10,3,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Not sure/can't remember,NA,25-34 years old,Man,No,250000
I am a developer by profession,Employed full-time,United States of America,Oregon,5 - 10 years,18,5,"10,000 or more employees",Yearly,Linux-based,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,317000
I am a developer by profession,Employed full-time,United States of America,California,11 - 17 years,27,23,20 to 99 employees,Yearly,MacOS,Daily or almost daily,Yes,A few times per week,45-54 years old,Man,No,175000
I am a developer by profession,Employed full-time,United States of America,Texas,11 - 17 years,6,3,"10,000 or more employees",Yearly,MacOS,Less than once per month or monthly,No,NA,18-24 years old,Man,No,148000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Virginia,11 - 17 years,39,28,"1,000 to 4,999 employees",Yearly,Linux-based,A few times per month or weekly,Yes,Less than once per month or monthly,45-54 years old,Man,Prefer not to say,153000
I am a developer by profession,Employed full-time,United States of America,Massachusetts,25 - 34 years,7,5,100 to 499 employees,Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,182000
I am a developer by profession,Employed full-time,United States of America,Colorado,11 - 17 years,5,5,2 to 9 employees,Yearly,MacOS,Daily or almost daily,Yes,Less than once per month or monthly,35-44 years old,Man,No,137000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Illinois,18 - 24 years,3,3,100 to 499 employees,Yearly,MacOS,A few times per week,No,NA,25-34 years old,Man,No,100000
I am a developer by profession,Employed full-time,United States of America,Illinois,5 - 10 years,30,16,"10,000 or more employees",Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,35-44 years old,Man,No,250000
I am a developer by profession,Employed full-time,United States of America,New York,11 - 17 years,8,3,100 to 499 employees,Yearly,MacOS,A few times per month or weekly,No,NA,18-24 years old,Man,No,125000
I am a developer by profession,Employed full-time,United States of America,Michigan,11 - 17 years,3,Less than 1 year,"10,000 or more employees",Yearly,MacOS,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,18-24 years old,Man,No,65000
I am a developer by profession,Employed full-time,United States of America,South Carolina,11 - 17 years,25,25,"10,000 or more employees",Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,35-44 years old,Man,No,135000
I am a developer by profession,Employed full-time,United States of America,Pennsylvania,11 - 17 years,6,3,"1,000 to 4,999 employees",Yearly,Linux-based,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,140000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,California,25 - 34 years,31,27,100 to 499 employees,Yearly,MacOS,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,45-54 years old,Man,No,255000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Washington,5 - 10 years,27,8,"10,000 or more employees",Yearly,MacOS,Daily or almost daily,Yes,Less than once per month or monthly,35-44 years old,Man,No,200000
I am a developer by profession,Employed full-time,United States of America,Texas,11 - 17 years,13,4,"10,000 or more employees",Yearly,Linux-based,A few times per month or weekly,No,NA,25-34 years old,Man,No,80000
I am a developer by profession,Employed full-time,United States of America,California,11 - 17 years,18,12,10 to 19 employees,Yearly,Linux-based,Daily or almost daily,Not sure/can't remember,NA,35-44 years old,Man,No,150000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,North Carolina,11 - 17 years,6,3,2 to 9 employees,Yearly,Windows Subsystem for Linux (WSL),Multiple times per day,Yes,Less than once per month or monthly,18-24 years old,Man,No,45000
I am a developer by profession,Employed full-time,United States of America,Illinois,5 - 10 years,23,17,"10,000 or more employees",Yearly,Windows,Multiple times per day,Yes,Less than once per month or monthly,35-44 years old,Man,No,210000
I am a developer by profession,Employed full-time,United States of America,Texas,11 - 17 years,16,10,"10,000 or more employees",Yearly,MacOS,A few times per month or weekly,Not sure/can't remember,NA,25-34 years old,Man,No,240000
I am a developer by profession,Employed full-time,United States of America,Georgia,18 - 24 years,4,2,2 to 9 employees,Yearly,MacOS,A few times per week,Yes,A few times per month or weekly,35-44 years old,Man,No,70000
I am a developer by profession,Employed full-time,United States of America,North Carolina,11 - 17 years,14,8,100 to 499 employees,Yearly,Windows,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,117000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Massachusetts,25 - 34 years,10,5,"10,000 or more employees",Yearly,Windows,A few times per month or weekly,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,125000
I am a developer by profession,Employed full-time,United States of America,New Mexico,11 - 17 years,16,5,"10,000 or more employees",Yearly,Windows,Multiple times per day,No,NA,25-34 years old,Man,No,150000
I am a developer by profession,Employed full-time,United States of America,Illinois,18 - 24 years,7,3,"10,000 or more employees",Yearly,MacOS,A few times per week,Not sure/can't remember,NA,25-34 years old,Woman,No,99750
I am a developer by profession,Employed full-time,United States of America,Virginia,18 - 24 years,9,7,"1,000 to 4,999 employees",Yearly,Windows,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,110
I am a developer by profession,Employed full-time,United States of America,Minnesota,11 - 17 years,5,4,"10,000 or more employees",Yearly,Linux-based,A few times per week,No,NA,25-34 years old,Man,No,155000
I am a developer by profession,Employed full-time,United States of America,Virginia,11 - 17 years,7,6,"10,000 or more employees",Yearly,Linux-based,Multiple times per day,Yes,A few times per month or weekly,35-44 years old,Man,No,110000
I am a developer by profession,Employed full-time,United States of America,Virginia,5 - 10 years,21,20,"1,000 to 4,999 employees",Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,45-54 years old,Man,No,115000
I am a developer by profession,Employed full-time,United States of America,Indiana,25 - 34 years,5,5,20 to 99 employees,Yearly,MacOS,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,125000
I am a developer by profession,Employed full-time,United States of America,Wisconsin,18 - 24 years,10,8,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,110000
I am a developer by profession,Employed full-time,United States of America,Colorado,11 - 17 years,8,4,"10,000 or more employees",Yearly,Linux-based,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,25-34 years old,Man,No,120000
I am a developer by profession,Employed full-time,United States of America,Florida,11 - 17 years,5,3,"10,000 or more employees",Yearly,MacOS,Multiple times per day,Yes,I have never participated in Q&A on Stack Overflow,18-24 years old,Man,No,125000
I am a developer by profession,Employed full-time,United States of America,Texas,5 - 10 years,38,30,"10,000 or more employees",Yearly,Windows,Daily or almost daily,Yes,A few times per week,45-54 years old,Man,No,145000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Connecticut,11 - 17 years,15,5,"1,000 to 4,999 employees",Yearly,Linux-based,Multiple times per day,Yes,A few times per week,25-34 years old,Man,No,120000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Alabama,11 - 17 years,14,5,10 to 19 employees,Monthly,MacOS,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,2160000
I am a developer by profession,Employed full-time,United States of America,Ohio,11 - 17 years,10,Less than 1 year,20 to 99 employees,Weekly,Windows,Multiple times per day,No,NA,18-24 years old,Man,No,60000
"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,Kansas,11 - 17 years,19,6,"10,000 or more employees",Yearly,Windows,A few times per week,No,NA,25-34 years old,Man,No,102000
I am a developer by profession,Employed full-time,United States of America,California,18 - 24 years,19,17,"1,000 to 4,999 employees",Yearly,MacOS,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,35-44 years old,Man,No,137000
I am a developer by profession,Employed full-time,United States of America,Massachusetts,11 - 17 years,24,20,"10,000 or more employees",Yearly,MacOS,A few times per month or weekly,No,NA,35-44 years old,Man,No,210000
I am a developer by profession,Employed full-time,United States of America,California,25 - 34 years,10,10,20 to 99 employees,Yearly,MacOS,A few times per month or weekly,Yes,Less than once per month or monthly,35-44 years old,Man,No,225000
I am a developer by profession,Employed full-time,United States of America,Georgia,18 - 24 years,5,4,20 to 99 employees,Yearly,MacOS,A few times per month or weekly,No,NA,25-34 years old,Man,No,190000
I am a developer by profession,Employed full-time,United States of America,Washington,11 - 17 years,23,17,"1,000 to 4,999 employees",Yearly,MacOS,Less than once per month or monthly,Yes,I have never participated in Q&A on Stack Overflow,35-44 years old,Man,No,340000
I am a developer by profession,Employed full-time,United States of America,California,11 - 17 years,5,4,10 to 19 employees,Yearly,MacOS,Daily or almost daily,No,NA,18-24 years old,Man,No,75000
I am a developer by profession,Employed full-time,United States of America,Indiana,18 - 24 years,10,6,"1,000 to 4,999 employees",Yearly,Windows,Daily or almost daily,Yes,Less than once per month or monthly,25-34 years old,Man,No,95000
I am a developer by profession,Employed full-time,United States of America,Florida,18 - 24 years,7,4,"10,000 or more employees",Yearly,MacOS,A few times per week,Yes,A few times per month or weekly,25-34 years old,Man,No,140000
I am a developer by profession,Employed full-time,United States of America,California,5 - 10 years,11,1,"5,000 to 9,999 employees",Yearly,Windows,A few times per month or weekly,No,NA,18-24 years old,Woman,Yes,88000
I am a developer by profession,Employed full-time,United States of America,Oklahoma,11 - 17 years,8,14,"10,000 or more employees",Yearly,Windows,A few times per week,Yes,A few times per month or weekly,35-44 years old,Man,No,72680
I am a developer by profession,Employed full-time,United States of America,Washington,11 - 17 years,3,1,20 to 99 employees,Yearly,MacOS,Multiple times per day,Yes,Less than once per month or monthly,25-34 years old,Man,No,90000
I am a developer by profession,Employed full-time,United States of America,New York,11 - 17 years,10,10,"1,000 to 4,999 employees",Yearly,Windows,A few times per week,Yes,Less than once per month or monthly,25-34 years old,Man,No,250000
