ResponseId,MainBranch,Employment,Country,US_State,UK_Country,EdLevel,Age1stCode,LearnCode,YearsCode,YearsCodePro,DevType,OrgSize,Currency,CompTotal,CompFreq,LanguageHaveWorkedWith,LanguageWantToWorkWith,DatabaseHaveWorkedWith,DatabaseWantToWorkWith,PlatformHaveWorkedWith,PlatformWantToWorkWith,WebframeHaveWorkedWith,WebframeWantToWorkWith,MiscTechHaveWorkedWith,MiscTechWantToWorkWith,ToolsTechHaveWorkedWith,ToolsTechWantToWorkWith,NEWCollabToolsHaveWorkedWith,NEWCollabToolsWantToWorkWith,OpSys,NEWStuck,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,NEWOtherComms,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,SurveyLength,SurveyEase,ConvertedCompYearly
63,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,United States of America,New York,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,Online Forum,13,5,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Data scientist or machine learning specialist;Developer, back-end;Database administrator;Developer, QA or test;Data or business analyst;Designer;Engineering manager","10,000 or more employees",USD	United States dollar,130000,Yearly,C#;HTML/CSS;JavaScript;Node.js;PowerShell;Python;SQL;VBA,HTML/CSS;JavaScript;Node.js;Python;SQL,Microsoft SQL Server;Oracle;SQLite,Microsoft SQL Server,AWS;IBM Cloud or Watson;Microsoft Azure,AWS;IBM Cloud or Watson;Microsoft Azure,Express,Express,NA,NA,Git,Git,IPython/Jupyter;Notepad++;Visual Studio Code,IPython/Jupyter;Notepad++;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,NA,NA,"I have a concentration and/or memory disorder (e.g. ADHD);I have a mood or emotional disorder (e.g. depression, bipolar disorder);I have an anxiety disorder",Appropriate in length,Easy,130000
64,I code primarily as a hobby,"Student, full-time",United States of America,Texas,NA,Primary/elementary school,5 - 10 years,Online Courses or Certification,5,NA,NA,NA,NA,NA,NA,HTML/CSS;JavaScript;Node.js,HTML/CSS;JavaScript;Node.js,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Atom;Vim,Atom,Linux-based,Visit Stack Overflow;Google it;Do other work and come back later;Other (please specify):,Stack Overflow;Stack Exchange,A few times per month or weekly,Yes,A few times per month or weekly,"Yes, somewhat",No,Under 18 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
65,"I am not primarily a developer, but I write code sometimes as part of my work","Independent contractor, freelancer, or self-employed",United States of America,New York,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Friend or family member,6,5,"Developer, front-end;Developer, desktop or enterprise applications;Developer, full-stack;Developer, back-end;Data or business analyst;Designer",2 to 9 employees,USD	United States dollar,500000,Yearly,HTML/CSS;JavaScript;Python,HTML/CSS;JavaScript;Python,MySQL,MySQL,AWS,AWS,Flask,Django;Flask,Pandas,Pandas,Git,Git,Notepad++;PyCharm;Sublime Text,Notepad++;PyCharm;Sublime Text,Linux-based,Visit Stack Overflow;Google it;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,500000
66,I code primarily as a hobby,"Student, full-time",Sweden,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,Online Forum,7,NA,NA,NA,NA,NA,NA,HTML/CSS;PHP;Python;SQL,NA,MariaDB;SQLite,NA,DigitalOcean,NA,Laravel,NA,NumPy;Pandas,NA,NA,NA,Sublime Text;Visual Studio Code,NA,MacOS,Visit Stack Overflow;Google it;Panic,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"No, not really",No,35-44 years old,Man,No,Straight / Heterosexual,I don't know,I am deaf / hard of hearing,I have a concentration and/or memory disorder (e.g. ADHD),Too long,Neither easy nor difficult,NA
67,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,"Other doctoral degree (Ph.D., Ed.D., etc.)",18 - 24 years,School;Online Forum,5,2,Data scientist or machine learning specialist;Academic researcher;Scientist,"1,000 to 4,999 employees",AED United Arab Emirates dirham,NA,NA,HTML/CSS;Java;JavaScript;Matlab;Python;R;Scala;SQL,NA,Elasticsearch;MySQL;PostgreSQL,NA,AWS;Heroku;Microsoft Azure,NA,Django;FastAPI;Flask,Django;FastAPI;Flask;React.js,Apache Spark;NumPy;Pandas;Torch/PyTorch,NA,Docker;Git;Kubernetes,Docker,IntelliJ;IPython/Jupyter;PyCharm;RStudio;Sublime Text;Vim;Visual Studio,IntelliJ;PyCharm;Sublime Text,Linux-based,Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",Yes,25-34 years old,Man,No,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Too long,Easy,NA
68,I am a developer by profession,Employed full-time,Canada,NA,NA,Some college/university study without earning a degree,11 - 17 years,Other (please specify):,25,10,"Developer, desktop or enterprise applications;Developer, back-end;Database administrator",100 to 499 employees,CAD	Canadian dollar,95000,Yearly,C#;VBA,C#;TypeScript;VBA,Microsoft SQL Server;MySQL,Microsoft SQL Server,NA,NA,ASP.NET,ASP.NET;ASP.NET Core ,.NET Framework;.NET Core / .NET 5,.NET Framework;.NET Core / .NET 5,Git,Git,Visual Studio,Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Google it;Other (please specify):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,I am blind / have difficulty seeing,"I have a mood or emotional disorder (e.g. depression, bipolar disorder)",Appropriate in length,Easy,71850
69,I am a developer by profession,Employed full-time,Spain,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,School,20,10,"Developer, back-end","10,000 or more employees",EUR European Euro,54000,Yearly,Bash/Shell;JavaScript;Node.js;TypeScript,JavaScript;Node.js;Python;TypeScript,DynamoDB,DynamoDB;Firebase,AWS,AWS;Microsoft Azure,NA,NA,NA,NA,Terraform,Terraform,Notepad++;Vim;Visual Studio Code,Vim;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,35-44 years old,Man,No,Straight / Heterosexual,NA,None of the above,None of the above,Appropriate in length,Easy,58373
70,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,England,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5 - 10 years,Online Courses or Certification;Other (please specify):,24,18,"Developer, full-stack","5,000 to 9,999 employees",GBP	Pound sterling,100005,Yearly,HTML/CSS;JavaScript;SQL;TypeScript,HTML/CSS;JavaScript;Rust;SQL;TypeScript,PostgreSQL;SQLite,PostgreSQL;SQLite,AWS;Heroku,AWS,Express;Gatsby;React.js,Express;Gatsby;React.js,NA,NA,Git,Ansible;Chef;Docker;Git;Terraform,Visual Studio Code,Visual Studio Code,MacOS,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",Yes,35-44 years old,Man,No,Gay or Lesbian,White or of European descent,None of the above,Prefer not to say,Appropriate in length,Easy,129266
71,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Netherlands,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Forum;Online Courses or Certification",10,2,"Engineer, data;Academic researcher","1,000 to 4,999 employees",EUR European Euro,24000,Yearly,Bash/Shell;C;C++;Matlab;PowerShell;Python,Bash/Shell;C;C++;Matlab;Python,NA,NA,NA,NA,NA,NA,NumPy;Pandas,NumPy;Pandas;TensorFlow;Torch/PyTorch,Git,Docker;Git,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,25944
72,I am a developer by profession,"Independent contractor, freelancer, or self-employed",United States of America,Colorado,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",18 - 24 years,Other (please specify):,30,30,"Developer, desktop or enterprise applications;Developer, back-end",2 to 9 employees,USD	United States dollar,NA,NA,Go;HTML/CSS;Java;JavaScript;SQL,Go;HTML/CSS;Java;JavaScript;Node.js;SQL,DynamoDB;MariaDB;MongoDB;MySQL;PostgreSQL;Redis,MariaDB;MongoDB;MySQL;PostgreSQL;Redis,AWS;Google Cloud Platform,AWS,jQuery,jQuery,NA,NA,Docker;Git;Kubernetes,Docker;Git;Kubernetes,Emacs;Visual Studio Code,Emacs;Visual Studio Code,Linux-based,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
73,I am a developer by profession,Employed full-time,India,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",18 - 24 years,NA,4,NA,"Developer, front-end",100 to 499 employees,INR	Indian rupee,NA,NA,HTML/CSS;JavaScript,NA,NA,NA,NA,NA,jQuery;React.js,jQuery;React.js,NA,NA,NA,NA,Sublime Text;Visual Studio Code,Sublime Text;Visual Studio Code,MacOS,Visit Stack Overflow;Google it,Stack Overflow,Multiple times per day,Yes,A few times per week,"Yes, definitely",No,25-34 years old,Man,NA,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,Too long,Neither easy nor difficult,NA
74,I am a student who is learning to code,"Student, full-time",United Kingdom of Great Britain and Northern Ireland,NA,England,Some college/university study without earning a degree,11 - 17 years,School;Colleague,5,NA,NA,NA,NA,NA,NA,Assembly;Bash/Shell;C;C#;PHP;PowerShell;Python;SQL,Assembly;Bash/Shell;C;C#;Python;Rust;SQL,Elasticsearch;MariaDB;MongoDB;MySQL;PostgreSQL;SQLite,MySQL,DigitalOcean,NA,NA,NA,.NET Core / .NET 5,.NET Core / .NET 5,Docker;Git;Kubernetes,Git;Kubernetes,Notepad++;Vim;Visual Studio;Visual Studio Code,Vim;Visual Studio;Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,A few times per week,Yes,I have never participated in Q&A on Stack Overflow,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
75,I am a developer by profession,"Student, part-time",Georgia,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",4,NA,NA,NA,NA,NA,NA,Bash/Shell;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Python;SQL;TypeScript,Bash/Shell;HTML/CSS;Kotlin;Node.js;Python;TypeScript,Firebase;MongoDB;PostgreSQL,Firebase;MongoDB;PostgreSQL;Redis,NA,NA,Angular;Express;Gatsby;React.js;Spring;Vue.js,Angular;Express;Gatsby;React.js;Spring;Vue.js,React Native,React Native,Deno;Docker;Git,Ansible;Deno;Docker;Git,IntelliJ;Visual Studio Code,IntelliJ;Visual Studio Code,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Visit another developer community (please name):,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,Neutral,No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent;Biracial,None of the above,None of the above,Appropriate in length,Easy,NA
76,I am a developer by profession,Employed full-time,United States of America,Minnesota,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School",25,15,"Developer, front-end;Developer, full-stack;Developer, back-end",100 to 499 employees,USD	United States dollar,105000,Yearly,HTML/CSS;JavaScript;PHP,HTML/CSS;JavaScript;PHP;Python,NA,NA,NA,NA,jQuery;React.js,React.js,NA,NA,Git,Git,IntelliJ;Notepad++,IntelliJ;Notepad++;PyCharm;Visual Studio,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,45-54 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,105000
77,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Poland,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Courses or Certification",12,8,"Developer, front-end;Developer, full-stack;DevOps specialist;Engineer, site reliability","5,000 to 9,999 employees",PLN	Polish zloty,15000,Monthly,Bash/Shell;C#;Dart;Delphi;Go;HTML/CSS;Java;JavaScript;Kotlin;Node.js;Objective-C;PHP;PowerShell;Python;SQL;Swift;TypeScript,NA,Firebase;Microsoft SQL Server;MongoDB;MySQL;PostgreSQL,NA,Google Cloud Platform;Microsoft Azure,Google Cloud Platform,Angular;Angular.js;ASP.NET;ASP.NET Core ;Django;Express;Flask;jQuery;Laravel;React.js;Spring;Vue.js,NA,.NET Framework;.NET Core / .NET 5;Apache Spark;Flutter;React Native,NA,Docker;Git;Unity 3D,NA,Android Studio;Eclipse;NetBeans;Notepad++;Visual Studio;Visual Studio Code,NA,Linux-based,Call a coworker or friend;Visit Stack Overflow;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,45564
78,I am a developer by profession,Employed full-time,Canada,NA,NA,"Other doctoral degree (Ph.D., Ed.D., etc.)",5 - 10 years,Friend or family member,10,8,Data scientist or machine learning specialist,500 to 999 employees,CAD	Canadian dollar,200000,Yearly,HTML/CSS;Python;R,HTML/CSS;Python;R;Rust,DynamoDB,DynamoDB,AWS,AWS,Flask,Flask,Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Apache Spark;Keras;NumPy;Pandas;TensorFlow;Torch/PyTorch,Docker;Git,Docker;Git;Kubernetes,Atom;IPython/Jupyter;Notepad++;RStudio;Sublime Text,Atom;IPython/Jupyter;RStudio;Sublime Text,MacOS,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,151263
79,I am a student who is learning to code,Employed part-time,Russian Federation,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc)",NA,NA,"Developer, mobile",NA,NA,NA,NA,Kotlin,Kotlin,Firebase;PostgreSQL;SQLite,Firebase;PostgreSQL;SQLite,Google Cloud Platform,Google Cloud Platform,Spring,NA,NumPy;Pandas,NA,Docker;Git,Git,Android Studio;IntelliJ,Android Studio;IntelliJ,Windows,Visit Stack Overflow;Google it;Watch help / tutorial videos,Stack Overflow,Daily or almost daily,Yes,A few times per week,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,White or of European descent;Middle Eastern,None of the above,None of the above,Appropriate in length,Easy,NA
80,I am a developer by profession,Employed full-time,Spain,NA,NA,"Associate degree (A.A., A.S., etc.)",11 - 17 years,Online Courses or Certification,NA,NA,"Developer, back-end",100 to 499 employees,EUR European Euro,20000,Yearly,C#;Go;Java;Python,C++;Clojure;Go;Rust,Elasticsearch;Firebase;MariaDB;MySQL;PostgreSQL;Redis,PostgreSQL,AWS;Google Cloud Platform;Heroku,AWS;Heroku,Angular;Django;FastAPI;Flask,React.js,Flutter,NumPy;Pandas,Docker;Git;Terraform;Unity 3D,Deno;Kubernetes;Yarn,Android Studio;IntelliJ;NetBeans;Visual Studio Code;Webstorm,Emacs;Neovim,MacOS,Call a coworker or friend;Visit Stack Overflow;Google it,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,I have never participated in Q&A on Stack Overflow,"No, not at all",No,18-24 years old,Man,No,Straight / Heterosexual,Hispanic or Latino/a/x,NA,NA,Appropriate in length,Easy,21620
81,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Uzbekistan,NA,NA,Primary/elementary school,11 - 17 years,"Other online resources (ex: videos, blogs, etc);Online Courses or Certification",1,NA,"Developer, front-end;Student;Designer","Just me - I am a freelancer, sole proprietor, etc.",UZS	Uzbekistani som,1000000000,Yearly,HTML/CSS;JavaScript;Node.js,HTML/CSS;JavaScript;Node.js,MongoDB,MongoDB,NA,NA,jQuery,Angular.js;jQuery;React.js;Vue.js,NA,NA,Git,Git,Visual Studio Code,Visual Studio Code,Windows,Visit Stack Overflow;Google it,Stack Overflow,A few times per month or weekly,Yes,Less than once per month or monthly,"Yes, definitely",No,Under 18 years old,Man,Prefer not to say,Prefer not to say,Southeast Asian,None of the above,None of the above,Appropriate in length,Easy,105024
82,"I am not primarily a developer, but I write code sometimes as part of my work",Employed full-time,Sweden,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Friend or family member;Online Courses or Certification",10,3,"Developer, front-end;Developer, full-stack;Developer, back-end;Developer, QA or test;System administrator","1,000 to 4,999 employees",SEK	Swedish krona,33000,Monthly,Bash/Shell;Java;JavaScript;PHP;Python,C;Python;Rust,PostgreSQL,NA,NA,NA,NA,NA,NA,NA,Ansible;Git,Ansible;Deno;Git,Emacs;IntelliJ;Vim,NA,Linux-based,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Play games;Panic,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",Yes,35-44 years old,Man,No,Straight / Heterosexual;Prefer to self-describe:,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,40500
83,I am a student who is learning to code,"Student, full-time",Netherlands,NA,NA,"Associate degree (A.A., A.S., etc.)",11 - 17 years,School,5,NA,NA,NA,NA,NA,NA,Dart;HTML/CSS;JavaScript;PHP;TypeScript,Dart;HTML/CSS;JavaScript;PHP;TypeScript,MariaDB;MongoDB;MySQL,MariaDB;MongoDB;MySQL,NA,NA,jQuery;Laravel;React.js;Vue.js,jQuery;Laravel;React.js,Flutter;React Native,Flutter,Docker;Git,Docker;Git,PHPStorm;Visual Studio Code;Webstorm;Xcode,PHPStorm;Webstorm;Xcode,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",No,18-24 years old,Woman,No,Bisexual,White or of European descent,None of the above,I have a concentration and/or memory disorder (e.g. ADHD);I have autism / an autism spectrum disorder (e.g. Asperger's),Appropriate in length,Easy,NA
84,I am a developer by profession,Employed part-time,Switzerland,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague",12,7,"Developer, full-stack",2 to 9 employees,CHF	Swiss franc,3600,Monthly,Assembly;C;C#;Go;HTML/CSS;Java;JavaScript;Node.js;PowerShell;Python;SQL;TypeScript,NA,MariaDB;Microsoft SQL Server;MySQL;SQLite,NA,Microsoft Azure,NA,ASP.NET;ASP.NET Core ;jQuery;React.js,NA,.NET Framework;.NET Core / .NET 5;Cordova;React Native;TensorFlow;Torch/PyTorch,NA,Docker;Git;Yarn,NA,Android Studio;IntelliJ;IPython/Jupyter;Notepad++;Visual Studio;Visual Studio Code;Xcode,NA,Windows,Call a coworker or friend;Visit Stack Overflow;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,Neutral,No,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,43908
85,I am a developer by profession,Employed full-time,Hungary,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",5 - 10 years,School,25,6,"Developer, front-end;Developer, full-stack","Just me - I am a freelancer, sole proprietor, etc.",HUF	Hungarian forint,1100000,Monthly,Dart;HTML/CSS;Java;JavaScript;Node.js;PowerShell;TypeScript,Dart;HTML/CSS;JavaScript;Node.js;PowerShell;TypeScript,Firebase;MariaDB;MongoDB;MySQL;Oracle,Firebase;MongoDB,Google Cloud Platform,Google Cloud Platform,Angular;Django;Express;jQuery;React.js;Vue.js,Angular;Express;Vue.js,Flutter;NumPy;React Native,Flutter,Docker;Git,Docker;Git;Unity 3D,Android Studio;IntelliJ;Notepad++;PyCharm;Visual Studio Code,Android Studio;IntelliJ;Notepad++,Linux-based,Visit Stack Overflow;Google it,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,42336
86,I am a developer by profession,Employed part-time,Germany,NA,NA,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,7,2,"Data scientist or machine learning specialist;Academic researcher;Scientist;Student;Developer, game or graphics",I don’t know,EUR European Euro,NA,NA,C;C++;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Node.js;PHP;Python;Rust;SQL;TypeScript,C++;Java;Kotlin;Python,MySQL;PostgreSQL;Redis;SQLite,PostgreSQL;Redis;SQLite,AWS,AWS,Django;Express;Flask;jQuery;Spring;Vue.js,Vue.js,NumPy;Pandas;Qt;Torch/PyTorch,NumPy;Torch/PyTorch,Docker;Git;Unreal Engine,Docker;Git,Android Studio;IntelliJ;IPython/Jupyter;Notepad++;PyCharm;Rider;Sublime Text;Vim;Visual Studio;Visual Studio Code,IntelliJ;Notepad++;Vim;Visual Studio Code,Linux-based,Go for a walk or other physical activity;Google it;Do other work and come back later;Play games,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per week,"Yes, definitely",Yes,18-24 years old,"Man;Or, in your own words:",No,Straight / Heterosexual;Prefer to self-describe:,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
87,I am a developer by profession,Employed full-time,Canada,NA,NA,Something else,5 - 10 years,Other (please specify):,31,17,"Developer, back-end",20 to 99 employees,CAD	Canadian dollar,126000,Yearly,C#;SQL;TypeScript,SQL,Elasticsearch;Microsoft SQL Server,Elasticsearch;Microsoft SQL Server,AWS;Microsoft Azure,Microsoft Azure,ASP.NET Core ,ASP.NET Core ,.NET Core / .NET 5,.NET Core / .NET 5,Docker;Kubernetes,Docker,Notepad++;Visual Studio;Visual Studio Code,Notepad++;Visual Studio,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Do other work and come back later,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"No, not really",No,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,95295
88,I am a developer by profession,Employed full-time,United States of America,Maryland,NA,"Other doctoral degree (Ph.D., Ed.D., etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Friend or family member",18,1,"Engineer, data;Data scientist or machine learning specialist;Scientist",20 to 99 employees,USD	United States dollar,100000,Yearly,Bash/Shell;C#;HTML/CSS;Julia;Matlab;Python,Bash/Shell;C#;C++;Julia;Matlab;Python,NA,NA,Google Cloud Platform,Google Cloud Platform,NA,NA,NumPy;Pandas,NumPy;Pandas,Git,Git,Notepad++;Vim;Visual Studio;Visual Studio Code,Notepad++;Vim;Visual Studio;Visual Studio Code,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",No,25-34 years old,Man,No,Straight / Heterosexual,South Asian,None of the above,None of the above,Appropriate in length,Easy,100000
89,I am a developer by profession,Employed full-time,United Kingdom of Great Britain and Northern Ireland,NA,Scotland,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",11 - 17 years,School,26,14,"Developer, full-stack",10 to 19 employees,GBP	Pound sterling,47500,Yearly,C#;Clojure;Go;JavaScript;Python;SQL,Clojure,Microsoft SQL Server,NA,Microsoft Azure,NA,jQuery,NA,.NET Framework;.NET Core / .NET 5,NA,Git,NA,IntelliJ;Rider;Visual Studio;Visual Studio Code,NA,Windows,Call a coworker or friend;Go for a walk or other physical activity;Do other work and come back later;Visit another developer community (please name):,Stack Overflow,A few times per month or weekly,Yes,A few times per month or weekly,"No, not at all",Yes,35-44 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,61398
90,I am a developer by profession,"Student, full-time",Canada,NA,NA,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",11 - 17 years,Friend or family member;Online Courses or Certification;Other (please specify):,9,NA,NA,NA,NA,NA,NA,C;C++;Java;JavaScript;Node.js;Python;R,Python,PostgreSQL,PostgreSQL,NA,NA,Flask;jQuery;Spring,Flask,NumPy,NumPy,Docker;Git,Docker;Git,Atom;Eclipse;Vim,Atom;Vim,Windows,Visit Stack Overflow;Go for a walk or other physical activity;Google it;Play games;Panic,Stack Overflow;Stack Exchange;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies),A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",No,18-24 years old,Man,No,Straight / Heterosexual,East Asian,None of the above,None of the above,Appropriate in length,Neither easy nor difficult,NA
91,I am a developer by profession,"Not employed, but looking for work",Belgium,NA,NA,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11 - 17 years,"Other online resources (ex: videos, blogs, etc);School;Online Forum;Colleague",10,NA,"Developer, full-stack;Developer, back-end",NA,NA,NA,NA,JavaScript;Node.js;Python,Python,PostgreSQL;SQLite,PostgreSQL;SQLite,AWS,AWS;DigitalOcean;Google Cloud Platform,Django;Flask;React.js,Django,NumPy;Pandas;Qt,NA,Git,Git,PyCharm;Visual Studio Code,Visual Studio Code,Windows,Call a coworker or friend;Visit Stack Overflow;Go for a walk or other physical activity;Google it;Watch help / tutorial videos;Do other work and come back later;Meditate;Play games,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Daily or almost daily,"Yes, definitely",Yes,25-34 years old,Man,No,Straight / Heterosexual,White or of European descent,None of the above,None of the above,Appropriate in length,Easy,NA
